sku_variant,image_url
c05ee2f24d,https://contents.mediadecathlon.com/m23919704/k$fc0b56517be5620511f1d7a0f7d34a63/sq/4f335a26-3582-4d1c-b2b2-482ad72173ad_c4c1c4.jpg?format=auto&f=800x0
83c6f0d065,https://contents.mediadecathlon.com/m23919704/k$fc0b56517be5620511f1d7a0f7d34a63/sq/4f335a26-3582-4d1c-b2b2-482ad72173ad_c4c1c4.jpg?format=auto&f=800x0
e5086015b6,https://contents.mediadecathlon.com/m23919704/k$fc0b56517be5620511f1d7a0f7d34a63/sq/4f335a26-3582-4d1c-b2b2-482ad72173ad_c4c1c4.jpg?format=auto&f=800x0
94e261dd02,https://contents.mediadecathlon.com/m23919704/k$fc0b56517be5620511f1d7a0f7d34a63/sq/4f335a26-3582-4d1c-b2b2-482ad72173ad_c4c1c4.jpg?format=auto&f=800x0
345c228a4f,https://contents.mediadecathlon.com/m19601216/k$b927836e258f62ab8373350c9bd18d2a/sq/26c66149-50ca-4ca5-a210-503575879d4a_c4c249c4.jpg?format=auto&f=800x0
d63a917a47,https://contents.mediadecathlon.com/m19601216/k$b927836e258f62ab8373350c9bd18d2a/sq/26c66149-50ca-4ca5-a210-503575879d4a_c4c249c4.jpg?format=auto&f=800x0
e81666645c,https://contents.mediadecathlon.com/m19601216/k$b927836e258f62ab8373350c9bd18d2a/sq/26c66149-50ca-4ca5-a210-503575879d4a_c4c249c4.jpg?format=auto&f=800x0
5523c2480e,https://contents.mediadecathlon.com/m16561911/k$83ebd48bc3ef50b89f508ae1b7953e89/sq/56d1de55-6b1c-4cb2-b1a2-6a6f93035666_c14c4c14.jpg?format=auto&f=800x0
54809aee40,https://contents.mediadecathlon.com/m16561911/k$83ebd48bc3ef50b89f508ae1b7953e89/sq/56d1de55-6b1c-4cb2-b1a2-6a6f93035666_c14c4c14.jpg?format=auto&f=800x0
f9b400befa,https://contents.mediadecathlon.com/m16561911/k$83ebd48bc3ef50b89f508ae1b7953e89/sq/56d1de55-6b1c-4cb2-b1a2-6a6f93035666_c14c4c14.jpg?format=auto&f=800x0
6d1aaf326b,https://contents.mediadecathlon.com/m16561911/k$83ebd48bc3ef50b89f508ae1b7953e89/sq/56d1de55-6b1c-4cb2-b1a2-6a6f93035666_c14c4c14.jpg?format=auto&f=800x0
6380108549,https://contents.mediadecathlon.com/m16561911/k$83ebd48bc3ef50b89f508ae1b7953e89/sq/56d1de55-6b1c-4cb2-b1a2-6a6f93035666_c14c4c14.jpg?format=auto&f=800x0
0539c3ec4a,https://contents.mediadecathlon.com/m16561911/k$83ebd48bc3ef50b89f508ae1b7953e89/sq/56d1de55-6b1c-4cb2-b1a2-6a6f93035666_c14c4c14.jpg?format=auto&f=800x0
06473c8e86,https://contents.mediadecathlon.com/m16561911/k$83ebd48bc3ef50b89f508ae1b7953e89/sq/56d1de55-6b1c-4cb2-b1a2-6a6f93035666_c14c4c14.jpg?format=auto&f=800x0
64e5f1da3b,https://contents.mediadecathlon.com/m16561911/k$83ebd48bc3ef50b89f508ae1b7953e89/sq/56d1de55-6b1c-4cb2-b1a2-6a6f93035666_c14c4c14.jpg?format=auto&f=800x0
c2357977d3,https://contents.mediadecathlon.com/m16561911/k$83ebd48bc3ef50b89f508ae1b7953e89/sq/56d1de55-6b1c-4cb2-b1a2-6a6f93035666_c14c4c14.jpg?format=auto&f=800x0
1fd0f60a34,https://contents.mediadecathlon.com/m16561911/k$83ebd48bc3ef50b89f508ae1b7953e89/sq/56d1de55-6b1c-4cb2-b1a2-6a6f93035666_c14c4c14.jpg?format=auto&f=800x0
2799024a32,https://contents.mediadecathlon.com/p2941240/k$6d363b2af7e2e5d776b06f3c45544dc7/sq/8968397.jpg?format=auto&f=800x0
1698ba72e7,https://contents.mediadecathlon.com/p2941240/k$6d363b2af7e2e5d776b06f3c45544dc7/sq/8968397.jpg?format=auto&f=800x0
03eb7f38aa,https://contents.mediadecathlon.com/p2941240/k$6d363b2af7e2e5d776b06f3c45544dc7/sq/8968397.jpg?format=auto&f=800x0
abe7387aa1,https://contents.mediadecathlon.com/p2941240/k$6d363b2af7e2e5d776b06f3c45544dc7/sq/8968397.jpg?format=auto&f=800x0
cc8de7654d,https://contents.mediadecathlon.com/p2941240/k$6d363b2af7e2e5d776b06f3c45544dc7/sq/8968397.jpg?format=auto&f=800x0
d3a55e4a62,https://contents.mediadecathlon.com/p2941240/k$6d363b2af7e2e5d776b06f3c45544dc7/sq/8968397.jpg?format=auto&f=800x0
5523bab57c,https://contents.mediadecathlon.com/p2941240/k$6d363b2af7e2e5d776b06f3c45544dc7/sq/8968397.jpg?format=auto&f=800x0
3bbf4ee365,https://contents.mediadecathlon.com/p2941240/k$6d363b2af7e2e5d776b06f3c45544dc7/sq/8968397.jpg?format=auto&f=800x0
ad8b5f1af1,https://contents.mediadecathlon.com/p2941240/k$6d363b2af7e2e5d776b06f3c45544dc7/sq/8968397.jpg?format=auto&f=800x0
0c4d0ff50e,https://contents.mediadecathlon.com/p2941240/k$6d363b2af7e2e5d776b06f3c45544dc7/sq/8968397.jpg?format=auto&f=800x0
7eec15c336,https://contents.mediadecathlon.com/m21520173/k$c5899d55c19af382aac9fc9bb2649e5c/sq/3e903414-35b3-4f99-81d3-89a159b12be5_c192c181c26.jpg?format=auto&f=800x0
ef253cef2a,https://contents.mediadecathlon.com/m21520173/k$c5899d55c19af382aac9fc9bb2649e5c/sq/3e903414-35b3-4f99-81d3-89a159b12be5_c192c181c26.jpg?format=auto&f=800x0
f301e355ca,https://contents.mediadecathlon.com/m21520173/k$c5899d55c19af382aac9fc9bb2649e5c/sq/3e903414-35b3-4f99-81d3-89a159b12be5_c192c181c26.jpg?format=auto&f=800x0
0a771a0fc3,https://contents.mediadecathlon.com/m18433309/k$0503fd4e589d6d939d548162be75e369/sq/c2ba8ac9-8e0c-4134-9336-20dd96e7bf4d_c218c178c27.jpg?format=auto&f=800x0
cac43a5d95,https://contents.mediadecathlon.com/m18433309/k$0503fd4e589d6d939d548162be75e369/sq/c2ba8ac9-8e0c-4134-9336-20dd96e7bf4d_c218c178c27.jpg?format=auto&f=800x0
e26ca2c338,https://contents.mediadecathlon.com/m18433309/k$0503fd4e589d6d939d548162be75e369/sq/c2ba8ac9-8e0c-4134-9336-20dd96e7bf4d_c218c178c27.jpg?format=auto&f=800x0
8cfde41041,https://contents.mediadecathlon.com/m18433309/k$0503fd4e589d6d939d548162be75e369/sq/c2ba8ac9-8e0c-4134-9336-20dd96e7bf4d_c218c178c27.jpg?format=auto&f=800x0
be95afa292,https://contents.mediadecathlon.com/m18433309/k$0503fd4e589d6d939d548162be75e369/sq/c2ba8ac9-8e0c-4134-9336-20dd96e7bf4d_c218c178c27.jpg?format=auto&f=800x0
f86b180ab4,https://contents.mediadecathlon.com/m18433309/k$0503fd4e589d6d939d548162be75e369/sq/c2ba8ac9-8e0c-4134-9336-20dd96e7bf4d_c218c178c27.jpg?format=auto&f=800x0
1d7d1530f1,https://contents.mediadecathlon.com/m18433309/k$0503fd4e589d6d939d548162be75e369/sq/c2ba8ac9-8e0c-4134-9336-20dd96e7bf4d_c218c178c27.jpg?format=auto&f=800x0
b82e17d916,https://contents.mediadecathlon.com/m18433309/k$0503fd4e589d6d939d548162be75e369/sq/c2ba8ac9-8e0c-4134-9336-20dd96e7bf4d_c218c178c27.jpg?format=auto&f=800x0
9622c81a39,https://contents.mediadecathlon.com/p2472855/k$c294a7ee1c843e33d2e6d25de08ae761/sq/8813654.jpg?format=auto&f=800x0
2edcfa1f9f,https://contents.mediadecathlon.com/p2910886/k$1a98172a8ec3b996e44a72a276ece455/sq/8967064.jpg?format=auto&f=800x0
2f38ce37f9,https://contents.mediadecathlon.com/p2910886/k$1a98172a8ec3b996e44a72a276ece455/sq/8967064.jpg?format=auto&f=800x0
e99ea97e0e,https://contents.mediadecathlon.com/p2910886/k$1a98172a8ec3b996e44a72a276ece455/sq/8967064.jpg?format=auto&f=800x0
ca584293bd,https://contents.mediadecathlon.com/p2910886/k$1a98172a8ec3b996e44a72a276ece455/sq/8967064.jpg?format=auto&f=800x0
40806d0eba,https://contents.mediadecathlon.com/p2910886/k$1a98172a8ec3b996e44a72a276ece455/sq/8967064.jpg?format=auto&f=800x0
122c36dab6,https://contents.mediadecathlon.com/p2910886/k$1a98172a8ec3b996e44a72a276ece455/sq/8967064.jpg?format=auto&f=800x0
f23e9cf4a4,https://contents.mediadecathlon.com/p2910886/k$1a98172a8ec3b996e44a72a276ece455/sq/8967064.jpg?format=auto&f=800x0
327d4d2a3e,https://contents.mediadecathlon.com/p2910886/k$1a98172a8ec3b996e44a72a276ece455/sq/8967064.jpg?format=auto&f=800x0
02f8a113fa,https://contents.mediadecathlon.com/p2910886/k$1a98172a8ec3b996e44a72a276ece455/sq/8967064.jpg?format=auto&f=800x0
72dfaaf917,https://contents.mediadecathlon.com/p2910886/k$1a98172a8ec3b996e44a72a276ece455/sq/8967064.jpg?format=auto&f=800x0
219dc276ea,https://contents.mediadecathlon.com/p2828663/k$565f2bf81c454587008f4a23b5bf5a84/sq/8939425.jpg?format=auto&f=800x0
32cd0913f4,https://contents.mediadecathlon.com/p2828663/k$565f2bf81c454587008f4a23b5bf5a84/sq/8939425.jpg?format=auto&f=800x0
d132518b74,https://contents.mediadecathlon.com/p2828663/k$565f2bf81c454587008f4a23b5bf5a84/sq/8939425.jpg?format=auto&f=800x0
525c6ee510,https://contents.mediadecathlon.com/p2828663/k$565f2bf81c454587008f4a23b5bf5a84/sq/8939425.jpg?format=auto&f=800x0
c778e18520,https://contents.mediadecathlon.com/p2828663/k$565f2bf81c454587008f4a23b5bf5a84/sq/8939425.jpg?format=auto&f=800x0
1c6799ccfd,https://contents.mediadecathlon.com/p2828663/k$565f2bf81c454587008f4a23b5bf5a84/sq/8939425.jpg?format=auto&f=800x0
bb740e86c6,https://contents.mediadecathlon.com/p2828663/k$565f2bf81c454587008f4a23b5bf5a84/sq/8939425.jpg?format=auto&f=800x0
543246632f,https://contents.mediadecathlon.com/p2828663/k$565f2bf81c454587008f4a23b5bf5a84/sq/8939425.jpg?format=auto&f=800x0
ffe6723c6c,https://contents.mediadecathlon.com/p2828663/k$565f2bf81c454587008f4a23b5bf5a84/sq/8939425.jpg?format=auto&f=800x0
17f30926b1,https://contents.mediadecathlon.com/p2828663/k$565f2bf81c454587008f4a23b5bf5a84/sq/8939425.jpg?format=auto&f=800x0
83b114d3f9,https://contents.mediadecathlon.com/p2828588/k$d5bad72ee1cd6ce4c53c60e08bb1e703/sq/8938698.jpg?format=auto&f=800x0
23b6098a4f,https://contents.mediadecathlon.com/p2828588/k$d5bad72ee1cd6ce4c53c60e08bb1e703/sq/8938698.jpg?format=auto&f=800x0
d482c4f8da,https://contents.mediadecathlon.com/p2828588/k$d5bad72ee1cd6ce4c53c60e08bb1e703/sq/8938698.jpg?format=auto&f=800x0
de4b4ede5d,https://contents.mediadecathlon.com/p2828588/k$d5bad72ee1cd6ce4c53c60e08bb1e703/sq/8938698.jpg?format=auto&f=800x0
8af6dea483,https://contents.mediadecathlon.com/p2828588/k$d5bad72ee1cd6ce4c53c60e08bb1e703/sq/8938698.jpg?format=auto&f=800x0
22578b87b5,https://contents.mediadecathlon.com/p2828588/k$d5bad72ee1cd6ce4c53c60e08bb1e703/sq/8938698.jpg?format=auto&f=800x0
6d648fbfbf,https://contents.mediadecathlon.com/p2931375/k$98256e54764ec91c27c077949cfd5d96/sq/8968003.jpg?format=auto&f=800x0
eadd96afc3,https://contents.mediadecathlon.com/p2931375/k$98256e54764ec91c27c077949cfd5d96/sq/8968003.jpg?format=auto&f=800x0
9d4d51f8e3,https://contents.mediadecathlon.com/p2931375/k$98256e54764ec91c27c077949cfd5d96/sq/8968003.jpg?format=auto&f=800x0
34bb1a1f7d,https://contents.mediadecathlon.com/p2931375/k$98256e54764ec91c27c077949cfd5d96/sq/8968003.jpg?format=auto&f=800x0
364c90f824,https://contents.mediadecathlon.com/p2931375/k$98256e54764ec91c27c077949cfd5d96/sq/8968003.jpg?format=auto&f=800x0
2af670a317,https://contents.mediadecathlon.com/p2931375/k$98256e54764ec91c27c077949cfd5d96/sq/8968003.jpg?format=auto&f=800x0
